id,user_id,completed_at,item_total,shipment_total
264959,35901,2022-09-01 05:23,36.97,6.0
264833,35823,2022-09-01 06:14,47.19,6.0
252795,7826,2022-09-01 06:40,42.89,6.0
256990,4710,2022-09-01 07:21,85.51,2.5
264976,28073,2022-09-01 07:39,34.73,6.0
264977,34036,2022-09-01 07:52,34.37,6.0
264984,35908,2022-09-01 08:29,37.08,6.0
253732,28681,2022-09-01 08:35,74.9,2.5
16326,2568,2022-09-01 09:04,84.98,2.5
264987,35909,2022-09-01 09:07,47.54,6.0
264993,34723,2022-09-01 10:01,27.56,6.0
255208,29575,2022-09-01 10:26,142.73,2.5
254568,21439,2022-09-01 10:49,108.55,2.5
265009,35916,2022-09-01 10:52,36.67,6.0
265013,35917,2022-09-01 10:56,44.99,6.0
265014,35918,2022-09-01 11:03,43.17,6.0
230869,23452,2022-09-01 11:56,44.6,6.0
260841,5603,2022-09-01 11:57,49.21,6.0
252141,142,2022-09-01 12:09,92.52,2.5
265020,35921,2022-09-01 12:21,27.3,6.0
265029,35928,2022-09-01 13:16,62.14,2.5
255861,30539,2022-09-01 13:56,49.11,6.0
236027,2806,2022-09-01 14:22,65.94,2.5
262155,34253,2022-09-01 14:46,31.17,6.0
265046,35937,2022-09-01 15:02,39.93,6.0
265050,35939,2022-09-01 15:47,71.96,2.5
265052,35941,2022-09-01 15:52,36.54,6.0
175298,8141,2022-09-01 16:02,216.25,8.5
263567,8161,2022-09-01 16:48,141.58,2.5
254659,29230,2022-09-01 18:05,36.26,6.0
265028,35927,2022-09-01 18:27,233.82,2.5
265069,35951,2022-09-01 18:39,148.35,2.5
265072,35952,2022-09-01 18:56,48.02,6.0
253826,2301,2022-09-01 19:36,65.9,2.5
265077,35954,2022-09-01 19:44,46.03,6.0
233164,24153,2022-09-01 19:47,46.68,6.0
238226,313,2022-09-01 19:52,139.84,2.5
264363,35585,2022-09-01 20:35,67.79,2.5
265116,35979,2022-09-01 20:51,47.55,6.0
263549,7886,2022-09-01 20:56,44.95,6.0
257333,31300,2022-09-01 21:13,40.27,6.0
265119,35980,2022-09-01 21:19,37.1,6.0
262683,34592,2022-09-01 23:02,34.2,6.0
265129,35986,2022-09-02 03:57,83.81,2.5
265130,35987,2022-09-02 04:02,37.01,6.0
251532,6274,2022-09-02 04:41,136.02,2.5
260559,8854,2022-09-02 06:29,87.33,2.5
110969,18462,2022-09-02 06:31,108.02,2.5
265125,35984,2022-09-02 06:52,43.76,6.0
265144,35991,2022-09-02 07:10,41.05,6.0
263518,32942,2022-09-02 07:22,31.83,6.0
265153,35995,2022-09-02 08:28,37.73,6.0
265160,35998,2022-09-02 09:08,37.1,6.0
264551,17,2022-09-02 09:58,46.05,6.0
265169,36003,2022-09-02 10:03,40.25,6.0
265175,36008,2022-09-02 10:20,45.75,6.0
250327,28106,2022-09-02 10:34,33.9,6.0
265168,36002,2022-09-02 10:53,39.97,6.0
265181,36011,2022-09-02 11:20,42.08,6.0
112367,492,2022-09-02 11:49,80.67,2.5
38633,6356,2022-09-02 11:56,68.77,2.5
254516,29706,2022-09-02 12:13,48.53,6.0
265188,36015,2022-09-02 12:16,42.91,6.0
259588,30961,2022-09-02 13:16,35.65,6.0
265198,24749,2022-09-02 13:40,34.78,6.0
265199,36022,2022-09-02 13:43,68.94,2.5
260103,33013,2022-09-02 15:11,29.93,6.0
265191,36017,2022-09-02 15:43,36.6,6.0
262503,1165,2022-09-02 16:03,127.95,2.5
265223,7,2022-09-02 16:19,9.5,6.0
265214,36032,2022-09-02 16:43,37.36,6.0
265228,36040,2022-09-02 16:44,25.7,6.0
265229,36041,2022-09-02 16:51,28.13,6.0
265225,36038,2022-09-02 17:24,25.6,6.0
