id,user_id,completed_at,item_total,shipment_total
236777,7258,2022-07-01 00:19,39.14,2.5
251366,28710,2022-07-01 06:21,46.95,2.5
251363,28709,2022-07-01 06:22,48.93,2.5
251370,28711,2022-07-01 06:38,60.86,2.5
230933,23483,2022-07-01 07:43,49.9,5.0
251396,28716,2022-07-01 08:26,37.64,2.5
237360,25259,2022-07-01 09:12,48.66,2.5
251417,28724,2022-07-01 09:17,48.81,2.5
244037,18924,2022-07-01 09:36,27.56,6.0
247792,4493,2022-07-01 09:42,0.0,0.0
251434,4493,2022-07-01 09:43,31.06,2.5
251443,28730,2022-07-01 10:06,46.36,2.5
251411,28722,2022-07-01 10:43,51.97,2.5
251470,28738,2022-07-01 11:08,51.82,2.5
251127,28641,2022-07-01 11:13,55.89,2.5
250509,28448,2022-07-01 11:16,47.48,2.5
245135,27288,2022-07-01 13:16,39.19,2.5
251520,28744,2022-07-01 13:20,35.62,2.5
234613,6274,2022-07-01 13:47,138.32,2.5
251533,28745,2022-07-01 13:52,29.96,6.0
251535,8310,2022-07-01 14:10,29.11,6.0
251195,28658,2022-07-01 14:17,37.72,2.5
251548,28749,2022-07-01 14:17,29.46,6.0
251552,11218,2022-07-01 14:24,26.69,6.0
251556,28752,2022-07-01 14:29,30.06,2.5
251569,28756,2022-07-01 14:56,60.62,2.5
14763,16686,2022-07-01 14:56,57.08,2.5
251565,28755,2022-07-01 15:17,47.69,2.5
251578,28759,2022-07-01 15:24,52.25,2.5
251575,28758,2022-07-01 15:32,41.24,2.5
251589,28761,2022-07-01 15:39,55.77,2.5
251599,28763,2022-07-01 15:51,30.11,2.5
237602,21534,2022-07-01 16:27,37.26,2.5
251627,28770,2022-07-01 16:47,55.88,2.5
251631,28771,2022-07-01 16:53,35.57,2.5
251186,28655,2022-07-01 16:56,47.98,2.5
251683,28782,2022-07-01 18:44,48.02,2.5
178968,20466,2022-07-01 18:48,58.72,2.5
251693,28784,2022-07-01 19:00,45.93,2.5
246724,6530,2022-07-01 20:29,50.96,2.5
251745,28793,2022-07-01 21:01,36.82,2.5
251777,28800,2022-07-01 23:14,47.76,2.5
251786,28804,2022-07-02 04:37,47.73,2.5
251794,28805,2022-07-02 05:41,47.69,2.5
251800,28808,2022-07-02 05:56,52.38,2.5
239425,25045,2022-07-02 07:23,26.29,6.0
251838,28810,2022-07-02 07:52,47.75,2.5
248092,24152,2022-07-02 08:09,55.63,2.5
251853,28813,2022-07-02 08:50,61.16,2.5
233000,24105,2022-07-02 09:18,48.22,2.5
251867,28816,2022-07-02 09:23,47.57,2.5
185622,6870,2022-07-02 09:35,144.5,2.5
16080,17210,2022-07-02 10:34,47.69,2.5
251924,28824,2022-07-02 11:31,39.07,2.5
230394,7529,2022-07-02 13:05,48.36,2.5
